id,path,name,mimeType,size,modifiedTime
1pUqClBWkvYsLgeVX4T-Vw_ieCUJoWWNg,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/youtube_uploader.py,youtube_uploader.py,text/x-python,965,2026-07-03T23:28:35.605Z
1nZ6cfXy5p-6vSebI8L60CsnQpSa3wKrB,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/trend_prediction_engine.py,trend_prediction_engine.py,text/x-python,2701,2026-07-03T23:28:35.596Z
1n97yM3P7xYp9i09RnCNRPIEtVOKZCHEq,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/requirements.txt,requirements.txt,text/plain,60,2026-07-03T23:28:35.586Z
1Yv0o_yn4qx_TeOHOhIAU6XzJ90-V8krK,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/keyword_discovery_engine.py,keyword_discovery_engine.py,text/x-python,2322,2026-07-03T23:28:35.578Z
1xYWivxLpwVlDwuMUHwRY2T_UkTIi2Mr3,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/google_sheets_connector.py,google_sheets_connector.py,text/x-python,1679,2026-07-03T23:28:35.569Z
1aCv8JBr8dNATsLAL_pap47RSvf5qQ3xj,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine,engine,application/vnd.google-apps.folder,,2026-07-03T23:28:35.253Z
19ZsgnUMsHbB53KmtSmu_y2ybN9dqWXAa,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/youtube_real_api.py,youtube_real_api.py,text/x-python,1622,2026-07-03T23:28:35.560Z
17BrhkUlLqS6ia2j01mBLCZ_Sn9XtHJa1,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/youtube_auto_video_system.py,youtube_auto_video_system.py,text/x-python,226,2026-07-03T23:28:35.551Z
1GqcSE2CYBIGSmPzBvW-4XTFZ0mEejuR0,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/video_engine.py,video_engine.py,text/x-python,1920,2026-07-03T23:28:35.541Z
1-3RfYnGdSMCRHxnOywA9CmFdP3-9r9cq,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/tracking_engine.py,tracking_engine.py,text/x-python,239,2026-07-03T23:28:35.532Z
13PzUQP7W2XCZfIsYdeSOXwOMbPLFo1Yp,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/tarifcheck_sales_engine.py,tarifcheck_sales_engine.py,text/x-python,265,2026-07-03T23:28:35.523Z
1vi77VqcucVvet5vt-UB3gz7clfY3ifRr,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/sheet_audit_engine.py,sheet_audit_engine.py,text/x-python,7854,2026-07-03T23:28:35.495Z
1V-JEWPlRBQD78rMER-sRILhtntBGnCt5,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/real_publish_layer.py,real_publish_layer.py,text/x-python,206,2026-07-03T23:28:35.486Z
1nOwxarUXHq0THN7u5WnIgLEzoal2UYNi,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/real_data_connector_v2.py,real_data_connector_v2.py,text/x-python,1512,2026-07-03T23:28:35.477Z
1YCBUTsghmjIhtlvxMvVXYldBPUIYMKUE,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/publish_engine.py,publish_engine.py,text/x-python,2216,2026-07-03T23:28:35.468Z
1mvFu62Z9g6qQ5YCS1Fl4DkzjU6xBpqvJ,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/profit_engine.py,profit_engine.py,text/x-python,2406,2026-07-03T23:28:35.460Z
1U5efUVR6sqdZ3VB1Y6G6ECoyMH_m9m05,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/product_layer.py,product_layer.py,text/x-python,602,2026-07-03T23:28:35.451Z
1gJ4jApwEDn-1bK4a_SjiOaV8-roAbDxx,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/product_generation_engine.py,product_generation_engine.py,text/x-python,1695,2026-07-03T23:28:35.442Z
1537zuxNw6rGs2u5m6TU7ZEdKnETJSP4p,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/partner_commission_mapper.py,partner_commission_mapper.py,text/x-python,988,2026-07-03T23:28:35.433Z
15pmYdgp3Q6AOB9tHHb0p8dD91faSqBex,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/output_layer.py,output_layer.py,text/x-python,134,2026-07-03T23:28:35.424Z
1-SmfPpCmyXATeTVX0w8DE6l-OsCOsPgW,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/orchestrator_clean_master.py,orchestrator_clean_master.py,text/x-python,298,2026-07-03T23:28:35.415Z
1MvxLATDVAKJHrJolhFTOByqMQVgFNMsT,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/mp4_video_pipeline.py,mp4_video_pipeline.py,text/x-python,2039,2026-07-03T23:28:35.406Z
1TDOPAcQyMH90rbSoS2B-c-ILjO3LOdps,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/monetization_engine.py,monetization_engine.py,text/x-python,1534,2026-07-03T23:28:35.398Z
1p1zRJiWD718XDdQJAsd6Xl4TWQQHHxDl,ROOT/_QUARANTINE_REVIEW/duplicate_repo/ai-marketing-system/engine/monetization_control_layer.py,monetization_control_layer.py,text/x-python,2341,2026-07-03T23:28:35.389Z
